DATE,XTNTVA01KRM667S
1999-01-01,1752325646.61015
1999-02-01,2036393800.35025
1999-03-01,2374536298.06825
1999-04-01,2484394541.26599
1999-05-01,1705693741.37293
1999-06-01,2180358626.31524
1999-07-01,2258040846.8622403
1999-08-01,1821888617.95982
1999-09-01,1623185909.22659
1999-10-01,1803983470.57893
1999-11-01,2041570400.6870499
1999-12-01,1756397619.4953098
2000-01-01,813252302.554951
2000-02-01,997372983.26203
2000-03-01,413350223.540808
2000-04-01,241553397.841961
2000-05-01,1134345261.59697
2000-06-01,1402504268.5772998
2000-07-01,1225388860.8661401
2000-08-01,1803220166.0944002
2000-09-01,1412862851.2130802
2000-10-01,864371228.1168821
2000-11-01,682624143.560743
2000-12-01,1040119012.0710399
2001-01-01,1208686450.9978502
2001-02-01,1380617506.52128
2001-03-01,1266217000.62904
2001-04-01,678620988.816351
2001-05-01,1651180999.25106
2001-06-01,903247805.7525691
2001-07-01,421460395.746742
2001-08-01,750189158.256248
2001-09-01,579968392.5842481
2001-10-01,349033580.008265
2001-11-01,528042497.498451
2001-12-01,273571759.224163
2002-01-01,1059250090.30961
2002-02-01,807091222.461024
2002-03-01,1099288248.4212
2002-04-01,880104488.9646469
2002-05-01,1404777119.50969
2002-06-01,207142019.00633
2002-07-01,872230725.5112059
2002-08-01,1486499508.72966
2002-09-01,601780785.661661
2002-10-01,1059293516.4032999
2002-11-01,775735128.157372
2002-12-01,348047047.14735
2003-01-01,825630632.7077731
2003-02-01,-263621312.89741704
2003-03-01,-355648387.608423
2003-04-01,1133464050.09057
2003-05-01,720002426.172779
2003-06-01,1602067202.87119
2003-07-01,1369115625.6000102
2003-08-01,1946032706.4369102
2003-09-01,2268990494.17587
2003-10-01,2348728421.8120503
2003-11-01,1746017827.73003
2003-12-01,2008734703.88292
2004-01-01,3652056732.66726
2004-02-01,2423782224.78848
2004-03-01,2264446521.55888
2004-04-01,2667172014.46107
2004-05-01,2481519654.19344
2004-06-01,2495482398.26033
2004-07-01,3175920306.09964
2004-08-01,2171229342.13836
2004-09-01,2293121491.62358
