"시점",계,비임금근로자,*자영업자,-고용원이 있는 자영업자,-고용원이 없는 자영업자,-무급가족종사자,임금근로자,-상용근로자,-임시근로자,-일용근로자
"2019.02",26346,6450,5480,1605,3876,970,19896,13979,4520,1397
"2019.03",26805,6615,5607,1592,4015,1008,20190,14102,4704,1384
"2019.04",27038,6737,5655,1567,4088,1083,20301,14001,4876,1425
"2019.05",27322,6818,5683,1584,4099,1135,20504,14070,4954,1480
"2019.06",27408,6853,5706,1536,4170,1147,20555,14161,4913,1481
"2019.07",27383,6821,5676,1520,4155,1146,20562,14181,4918,1463
"2019.08",27358,6799,5662,1535,4127,1138,20559,14288,4857,1415
"2019.09",27404,6779,5632,1491,4141,1147,20625,14390,4856,1379
"2019.10",27509,6762,5628,1507,4121,1135,20747,14434,4885,1428
"2019.11",27515,6668,5582,1462,4120,1086,20847,14490,4900,1457
"2019.12",27154,6464,5485,1436,4049,979,20690,14575,4706,1409
"2020.01",26800,6423,5462,1450,4011,962,20376,14586,4423,1367
"2020.02",26838,6445,5484,1459,4024,962,20393,14596,4507,1290
"2020.03",26609,6553,5537,1398,4139,1016,20056,14561,4284,1211
"2020.04",26562,6644,5582,1388,4195,1061,19919,14401,4288,1230
"2020.05",26930,6686,5601,1384,4217,1085,20244,14463,4453,1328
"2020.06",27055,6645,5551,1363,4188,1094,20410,14510,4506,1395
"2020.07",27106,6637,5548,1345,4203,1089,20469,14528,4523,1419
"2020.08",27085,6639,5555,1363,4193,1083,20446,14570,4539,1337
"2020.09",27012,6636,5554,1332,4222,1082,20376,14486,4553,1337
"2020.10",27088,6648,5550,1339,4211,1098,20441,14448,4624,1369
"2020.11",27241,6563,5523,1348,4175,1040,20678,14528,4738,1412
"2020.12",26526,6352,5422,1298,4124,930,20174,14580,4355,1239
"2021.01",25818,6201,5335,1292,4043,866,19617,14622,3860,1135
"2021.02",26365,6287,5372,1303,4069,915,20078,14678,4190,1210
"2021.03",26923,6412,5456,1304,4152,956,20511,14769,4490,1252
"2021.04",27214,6567,5545,1323,4222,1023,20647,14712,4667,1268
"2021.05",27550,6663,5587,1317,4270,1075,20887,14819,4760,1309
"2021.06",27637,6660,5580,1280,4300,1080,20978,14830,4866,1281
"2021.07",27648,6636,5564,1274,4290,1073,21012,14888,4875,1249
"2021.08",27603,6610,5550,1301,4249,1060,20992,14893,4851,1248
"2021.09",27683,6573,5528,1284,4244,1045,21110,15001,4893,1216
"2021.10",27741,6629,5568,1313,4256,1061,21112,15062,4843,1207
"2021.11",27795,6574,5560,1343,4217,1014,21221,15139,4844,1238
"2021.12",27298,6427,5511,1351,4160,917,20871,15232,4474,1165
"2022.01",26953,6332,5470,1346,4124,862,20621,15309,4237,1075
"2022.02",27402,6363,5486,1343,4143,877,21039,15445,4533,1061
"2022.03",27754,6438,5515,1339,4176,923,21316,15580,4656,1080
"2022.04",28078,6573,5603,1362,4241,969,21506,15641,4715,1150
"2022.05",28485,6709,5697,1382,4316,1012,21776,15719,4839,1218
"2022.06",28478,6734,5707,1401,4307,1027,21744,15729,4813,1202
"2022.07",28475,6696,5691,1352,4339,1006,21778,15783,4823,1172
"2022.08",28410,6686,5690,1354,4336,996,21724,15801,4773,1151
"2022.09",28389,6697,5710,1380,4331,987,21692,15817,4773,1102
"2022.10",28418,6734,5734,1380,4354,1000,21684,15800,4758,1126
"2022.11",28421,6689,5716,1371,4346,973,21732,15817,4761,1154
"2022.12",27808,6400,5564,1377,4187,836,21408,15868,4452,1089
